Job ID,Agency,num_positions,Full/Part,Career Level,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Posting Date,title,category,lon,lat
133921,NYC HOUSING AUTHORITY,50,F,Entry-Level,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,01/09/2014,Artist,Operation & Maintenance,-73.7897247,40.8509777
133921,NYC HOUSING AUTHORITY,50,F,Entry-Level,35,35,Hourly,DMP-Contract & Analysis Unit,Dept of Management & Planning,01/09/2014,Artist,Operation & Maintenance,-73.7897247,40.8509777
137433,DEPT OF HEALTH/MENTAL HYGIENE,1,F,Experienced (non-manager),50598,85053,Annual,42-09 28th Street,HIV Administration,12/09/2013,Analyst,Finance,-73.9390619,40.7493572
138531,DEPT OF ENVIRONMENT PROTECTION,1,F,Experienced (non-manager),50623,75083,Annual,96-05 Horace Harding Expway,DWOC Labs-Lefrak,12/20/2013,Chemist/Microbiologist,Public Safety,-73.86348939999999,40.7348796
152738,LAW DEPARTMENT,1,F,Experienced (non-manager),30683,49707,Annual,"100 Church St., N.Y.",Appeals,06/26/2014,Claim Assoviate,Clerical & Administrative Support,-74.01011419999999,40.71330040000001
160910,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),49492,60000,Annual,75 Park Place New York Ny,Financial Services,08/21/2014,Manager,Finance,-74.0109797,40.7144626
167179,NYC EMPLOYEES RETIREMENT SYS,1,F,Experienced (non-manager),87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,11/19/2014,Computer Specialist,	Technology & Data,-73.9882453,40.6934634
167179,NYC EMPLOYEES RETIREMENT SYS,1,F,Experienced (non-manager),87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,11/19/2014,Computer Specialist,	Technology & Data,-73.9882453,40.6934634
170989,OFFICE OF COLLECTIVE BARGAININ,1,P,Student,8.75,10.36,Hourly,100 Gold Street,Administration,10/09/2014,Assistant,Clerical & Administrative Support,-74.0033029,40.7103379
170989,OFFICE OF COLLECTIVE BARGAININ,1,P,Student,8.75,10.36,Hourly,100 Gold Street,Administration,10/09/2014,Assistant,Clerical & Administrative Support,-74.0033029,40.7103379
171040,DEPT OF HEALTH/MENTAL HYGIENE,1,F,Entry-Level,32086,51981,Annual,42-09 28th Street,Communicable Diseases,10/08/2014,Claim Assoviate,Clerical & Administrative Support,-73.9390619,40.7493572
172053,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),49492,69000,Annual,59 Maiden Lane,311 Operations,10/21/2014,Manager,Community,-74.0081164,40.7087357
175362,DEPT OF HEALTH/MENTAL HYGIENE,1,F,Entry-Level,32086,51981,Annual,"125 Worth Street, Nyc",Vital Statistics/Vital Recor,11/18/2014,Claim Assoviate,Clerical & Administrative Support,-74.002517,40.7157524
183112,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),45174,62370,Annual,2 Metro Tech,Develop & Integration Services,02/12/2015,Analyst,	Technology & Data,-73.9857147,40.693364
183500,LAW DEPARTMENT,1,F,Experienced (non-manager),32086,51981,Annual,"100 Church St., N.Y.",Admin Services,02/20/2015,Claim Assoviate,Clerical & Administrative Support,-74.01011419999999,40.71330040000001
185056,LAW DEPARTMENT,3,F,Experienced (non-manager),38089,53300,Annual,"100 Church St., N.Y.",Family Court: New York,03/16/2015,Legal/Attorney,Clerical & Administrative Support,-74.01011419999999,40.71330040000001
187714,ADMIN FOR CHILDREN'S SVCS,1,F,Experienced (non-manager),72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",03/30/2015,Computer Specialist,	Technology & Data,-74.0057361,40.7096402
187714,ADMIN FOR CHILDREN'S SVCS,1,F,Experienced (non-manager),72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",03/30/2015,Computer Specialist,	Technology & Data,-74.0057361,40.7096402
192723,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),40055,60611,Annual,75 Park Place New York Ny,General Counsel,05/18/2015,Researcher,Clerical & Administrative Support,-74.0109797,40.7144626
192756,DEPARTMENT OF TRANSPORTATION,1,F,Experienced (non-manager),81290,114954,Annual,55 Water St Ny Ny,IT & Telecom,05/11/2015,Computer Specialist,	Technology & Data,-74.0091879,40.7034619
192756,DEPARTMENT OF TRANSPORTATION,1,F,Experienced (non-manager),81290,114954,Annual,55 Water St Ny Ny,IT & Telecom,05/11/2015,Computer Specialist,	Technology & Data,-74.0091879,40.7034619
193109,DEPT OF INFO TECH & TELECOMM,1,F,Experienced (non-manager),53373,72000,Annual,59 Maiden Lane,311 Operations,05/11/2015,Manager,Community,-74.0081164,40.7087357
195805,ADMIN FOR CHILDREN'S SVCS,2,F,Experienced (non-manager),59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE),05/29/2015,Analyst,Social Service,-74.0078458,40.7088657
195805,ADMIN FOR CHILDREN'S SVCS,2,F,Experienced (non-manager),59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE),05/29/2015,Analyst,Social Service,-74.0078458,40.7088657
