Job ID,Civil Service Title,Job Category,title,category
132292,MAINTENANCE WORKER,MAINTENANCE & OPERATIONS,Repair Service,Operation & Maintenance
132292,MAINTENANCE WORKER,MAINTENANCE & OPERATIONS,Repair Service,Operation & Maintenance
133921,PAINTER,MAINTENANCE & OPERATIONS,Artist,Operation & Maintenance
133921,PAINTER,MAINTENANCE & OPERATIONS,Artist,Operation & Maintenance
137433,PROCUREMENT ANALYST,"FINANCE, ACCOUNTING, & PROCUREMENT",Analyst,Finance
138531,ASSOCIATE CHEMIST,"HEALTH PUBLIC SAFETY, INSPECTIONS, & ENFORCEMENT",Chemist/Microbiologist,Public Safety
151131,ADMINISTRATIVE STAFF ANALYST (,"ENGINEERING, ARCHITECTURE, & PLANNING",Analyst,"Engineering, Architecture, & Planning"
152738,CLERICAL ASSOCIATE,CLERICAL & ADMINISTRATIVE SUPPORT,Claim Assoviate,Clerical & Administrative Support
160910,ADM MANAGER-NON-MGRL FRM M1/M2,"FINANCE, ACCOUNTING, & PROCUREMENT",Manager,Finance
167179,CERT. IT ADMINISTRATOR WAN,INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Computer Specialist,	Technology & Data
167179,CERT. IT ADMINISTRATOR WAN,INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Computer Specialist,	Technology & Data
170989,COLLEGE AIDE (ALL CITY DEPTS),CLERICAL & ADMINISTRATIVE SUPPORT,Assistant,Clerical & Administrative Support
170989,COLLEGE AIDE (ALL CITY DEPTS),CLERICAL & ADMINISTRATIVE SUPPORT,Assistant,Clerical & Administrative Support
171040,CLERICAL ASSOCIATE,CLERICAL & ADMINISTRATIVE SUPPORT,Claim Assoviate,Clerical & Administrative Support
171944,COMPUTER ASSOC (TECH SUPP),"FINANCE, ACCOUNTING, & PROCUREMENT INFORMATION TECHNOLOGY & TELECOMMUNICATIONS",Computer Specialist,	Technology & Data
172053,ADM MANAGER-NON-MGRL FRM M1/M2,COMMUNITY & BUSINESS SERVICES,Manager,Community
175362,CLERICAL ASSOCIATE,CLERICAL & ADMINISTRATIVE SUPPORT,Claim Assoviate,Clerical & Administrative Support
177048,COMPUTER SPECIALIST (SOFTWARE),INFORMATION TECHNOLOGY & TELECOMMUNICATIONS,Computer Specialist,	Technology & Data
